imac,,,,,,,,,,,,,,,,,,,,,,0.048152331,,,0.048152331
pro,,,,,,,,,,,,,,,,,,,,,,0.048152331,,,0.048152331
ipad,,,,,,,,,,,,,,,,,,,,,,0.048152331,,,0.048152331
display,,,,,,,,,,,,,,,,,,,,,,0.048152331,,,0.048152331
cabl,0.028000474,,,,,,,,,,,,,,,,,,,,,,,,0.028000474
german,0.028000474,,,,,,,,,,,,,,,,,,,,,,,,0.028000474
ten,,,,,,0.027240461,,,,,,,,,,,,,,,,,,,0.027240461
entrepreneurship,,,,,,,0.025837836,,,,,,,,,,,,,,,,,,0.025837836
brave,,,,,,,0.025837836,,,,,,,,,,,,,,,,,,0.025837836
humbl,,,,,,,0.025837836,,,,,,,,,,,,,,,,,,0.025837836
you,,,,,,,,,,,,,,,,0.001205095,,,,,,0.037650101,,,0.019427598
trench,0.014000237,,,,,,,,,,,,,,,,,,,,,,,,0.014000237
crew,0.014000237,,,,,,,,,,,,,,,,,,,,,,,,0.014000237
-,,,,,,,,0.013678854,,,,,,,,,,,,,,,,,0.013678854
enough,,,,,,,0.033812058,,,,,0.000689013,,,,,,,,0.000320062,,,,,0.011607044
panason,,,,,,,,,,,,,,,,,0.011318776,0.010964839,,,,,,,0.011141807
tech,,,,,0.000741598,,,,,,,0.000689013,,,,,,,,,,0.03150669,,,0.0109791
rutger,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
connecticut,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
spike,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
attend,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
woman,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
basketbal,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
conn,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
gym,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
crowd,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
larger,,,,,,0.009080154,,,,,,,,,,,,,,,,,,,0.009080154
nvidia,,,,,0.009067201,,,,,,,,,,,,,,,,,,,,0.009067201
gpu,,,,,0.009067201,,,,,,,,,,,,,,,,,,,,0.009067201
turnpik,,,,,,,,,,,,,,,,,,,,,,,0.008531688,,0.008531688
instal,0.010946725,,,,,,,,,,,,,,,,,,,,,,0.005837029,,0.008391877
power,0.018321071,,,,0.000741598,0.005941262,,,,,,,,,,,,,,,,,,,0.008334644
next-gen,,,,,0.007933801,,,,,,,,,,,,,,,,,,,,0.007933801
big,,,,,0.003707991,0.017823785,,,,,0.001460966,,,,,,,,,,,,,,0.007664247
graphic,,,,,0.0068004,,,,,,,,,,,,,,,,,,,,0.0068004
card,,,,,0.0068004,,,,,,,,,,,,,,,,,,,,0.0068004
infrastructur,0.010946725,,,,,,,,,,,,,,,,,,,,,,0.002501584,,0.006724155
crash,,0.007708396,,,,,,,,,,,,,,,,,,0.005737048,,,,,0.006722722
jersey,,,,,,,,,,,,,,,,,,,,,,,0.006398766,,0.006398766
interchang,,,,,,,,,,,,,,,,,,,,,,,0.006398766,,0.006398766
chang,,0.001172838,,,,,0.016906029,,,,,,,,,0.001008459,,,,,,,,,0.006362442
coronaviru,,,,,,,,,,,,,,,,,,,0.006063542,,,,,,0.006063542
along,,,,,0.000741598,,0.016906029,,,0.000366615,,,,,,,,,,,,,,,0.006004747
initi,0.010946725,,,,,,,,0.000944831,,,,,,,,,,,,,,,,0.005945778
not,,,,,,,,,,,,,0.005710789,,,,,,,,,,,,0.005710789
red,,,,,0.005667,,,,,,,,,,,,,,,,,,,,0.005667
zemski,,,,,,,,,,,,,,,,,0.005567719,,,,,,,,0.005567719
seleski,,,0.005556038,,,,,,,,,,,,,,,,,,,,,,0.005556038
buffalo,,,,,,,,,,,,,,,,,0.006965401,0.00274121,,,,,,,0.004853305
might,,,,,0.001483197,0.003960841,,,,,,0.000918684,,0.000371362,,,,0.000764641,,,,0.02100446,,,0.004750531
ntsb,,0.004905343,,,,,,,,,,,,,,,,,,0.004589638,,,,,0.004747491
fourth-quart,,,,0.004729247,,,,,,,,,,,,,,,,,,,,,0.004729247
solar,,,,,,,,,,,0.000486989,,,,,,0.004371636,0.009175694,,,,,,,0.004678106
fisher,,,,,,,,,,,,,,,,0.004623745,,,,,,,,,0.004623745
ramp,0.015786427,,,0.001333154,,,,,0.000681277,,,,,0.000479978,,,,,,,,,,,0.004570209
nine,,,,,,0.011882523,,,,,,,,,0.001069122,,,,,,,,0.000697799,,0.004549815
tsla,,,,,,,,,,,,,,,,,,,0.004547656,,,,,,0.004547656
ev,,,,,,,,,,,,0.007410258,,,,,,,,,,,0.001667723,,0.00453899
supercomput,,,,,0.0045336,,,,,,,,,,,,,,,,,,,,0.0045336
york,,,,,,,,,,,,,,,,,0.0034827,0.00548242,,,,,,,0.00448256
